Pull,Z1_temp,Z2_temp,Z2_Bottom,Z3_temp,Z3_Bottom,Z4_Left temp,Z4_Centre temp,Z4_Right temp,sheet_thickness,Actual_thick_Min. LHS,Actual_thick_Max. LHS,Actual_thick_Min.  Center,Actual_thick_Max. Center,Actual_thick_Min. RHS,Actual_thick_Max. RHS,Roller_speed_Top,Roller_speed_Bottom,Roller_speed_Carriage,Roller_speed_Table,LEHR_SPEED,Pick_up_mark
220.89,1346.00,1252.00,1273.00,1193.00,1226.00,1139.00,1137.00,1146.00,3.20,3.20,3.26,3.02,3.19,3.27,3.32,618.00,618.00,656.00,690.00,745.00,3.73
220.44,1346.00,1252.00,1273.00,1193.00,1227.00,1139.00,1138.00,1146.00,3.20,3.27,3.32,3.01,3.15,3.26,3.30,615.00,615.00,656.00,690.00,745.00,4.11
221.00,1346.00,1250.00,1272.00,1192.00,1225.00,1138.00,1137.00,1145.00,3.20,3.25,3.29,3.05,3.16,3.22,3.26,614.00,614.00,656.00,690.00,745.00,3.72
219.81,1346.00,1251.00,1273.00,1192.00,1226.00,1138.00,1137.00,1145.00,3.20,3.20,3.26,3.01,3.16,3.26,3.32,614.00,614.00,656.00,690.00,745.00,4.59
221.21,1346.00,1252.00,1273.00,1193.00,1226.00,1139.00,1137.00,1145.00,3.20,3.20,3.26,3.02,3.19,3.27,3.32,614.00,614.00,656.00,690.00,745.00,4.46
219.96,1346.00,1252.00,1273.00,1193.00,1226.00,1138.00,1137.00,1146.00,3.20,3.36,3.39,3.07,3.22,3.29,3.32,614.00,614.00,656.00,690.00,745.00,4.49
218.42,1346.00,1251.00,1272.00,1192.00,1226.00,1138.00,1136.00,1145.00,3.20,3.21,3.24,3.01,3.19,3.27,3.31,614.00,614.00,656.00,690.00,745.00,4.42
218.92,1346.00,1251.00,1273.00,1193.00,1227.00,1139.00,1138.00,1147.00,3.20,3.25,3.29,3.05,3.16,3.22,3.26,614.00,614.00,656.00,690.00,745.00,5.51
219.06,1346.00,1251.00,1273.00,1193.00,1227.00,1140.00,1138.00,1146.00,3.20,3.19,3.22,3.02,3.21,3.31,3.35,614.00,614.00,656.00,690.00,745.00,5.71
218.39,1346.00,1251.00,1272.00,1192.00,1225.00,1138.00,1137.00,1145.00,3.20,3.27,3.32,3.01,3.15,3.26,3.30,614.00,614.00,656.00,690.00,745.00,4.83
217.95,1346.00,1250.00,1271.00,1191.00,1225.00,1137.00,1136.00,1144.00,3.20,3.25,3.29,3.05,3.16,3.22,3.26,614.00,614.00,656.00,690.00,745.00,2.91
219.23,1346.00,1251.00,1272.00,1192.00,1225.00,1138.00,1137.00,1145.00,3.20,3.20,3.26,3.01,3.16,3.26,3.32,614.00,614.00,656.00,690.00,745.00,4.07
219.30,1346.00,1251.00,1272.00,1193.00,1225.00,1138.00,1136.00,1144.00,3.20,3.20,3.26,3.02,3.19,3.27,3.32,614.00,614.00,656.00,690.00,745.00,3.69
221.14,1346.00,1252.00,1273.00,1193.00,1226.00,1137.00,1136.00,1145.00,3.20,3.27,3.32,3.01,3.15,3.26,3.30,619.00,619.00,661.00,696.00,752.00,3.04
221.90,1346.00,1250.00,1272.00,1192.00,1225.00,1136.00,1136.00,1144.00,3.20,3.20,3.26,3.01,3.16,3.26,3.32,614.00,614.00,656.00,690.00,744.00,3.34
221.90,1346.00,1250.00,1272.00,1192.00,1225.00,1136.00,1136.00,1144.00,3.20,3.27,3.30,3.10,3.31,3.33,3.37,615.00,615.00,657.00,691.00,743.00,3.63
221.62,1346.00,1250.00,1272.00,1192.00,1225.00,1137.00,1136.00,1143.00,3.20,3.28,3.31,3.07,3.20,3.28,3.31,615.00,615.00,657.00,691.00,743.00,2.88
219.91,1346.00,1251.00,1272.00,1193.00,1225.00,1137.00,1137.00,1144.00,3.20,3.23,3.26,3.08,3.23,3.24,3.27,625.00,625.00,667.00,702.00,754.00,3.63
220.30,1341.00,1246.00,1267.00,1184.00,1221.00,1133.00,1132.00,1140.00,3.20,3.27,3.34,3.11,3.23,3.23,3.33,615.00,615.00,657.00,691.00,743.00,3.30
216.21,1342.00,1246.00,1268.00,1187.00,1221.00,1132.00,1131.00,1139.00,3.20,3.29,3.34,3.12,3.22,3.27,3.31,616.00,616.00,662.00,697.00,748.00,3.50
221.42,1344.00,1249.00,1271.00,1190.00,1223.00,1136.00,1135.00,1142.00,3.20,3.22,3.26,3.05,3.16,3.21,3.25,616.00,616.00,662.00,697.00,748.00,4.00
220.53,1346.00,1249.00,1271.00,1191.00,1224.00,1137.00,1135.00,1143.00,3.20,3.21,3.24,3.04,3.15,3.23,3.27,620.00,620.00,666.00,701.00,752.00,3.43
218.35,1344.00,1248.00,1270.00,1189.00,1223.00,1136.00,1134.00,1141.00,3.20,3.19,3.24,3.03,3.15,3.19,3.24,620.00,620.00,666.00,701.00,752.00,3.10
219.86,1344.00,1249.00,1270.00,1190.00,1224.00,1135.00,1134.00,1143.00,3.20,3.20,3.25,3.04,3.16,3.18,3.22,624.00,624.00,671.00,706.00,757.00,4.86
218.30,1346.00,1250.00,1272.00,1191.00,1224.00,1135.00,1135.00,1143.00,3.20,3.24,3.27,3.03,3.15,3.16,3.22,624.00,624.00,671.00,706.00,757.00,3.42
220.13,1344.00,1249.00,1270.00,1191.00,1224.00,1136.00,1135.00,1144.00,3.20,3.19,3.23,3.01,3.14,3.19,3.23,631.00,631.00,678.00,713.00,765.00,4.09
221.27,1345.00,1249.00,1270.00,1190.00,1223.00,1135.00,1134.00,1143.00,3.20,3.18,3.23,3.03,3.17,3.21,3.24,631.00,631.00,678.00,713.00,765.00,3.87
223.71,1345.00,1250.00,1272.00,1192.00,1225.00,1138.00,1136.00,1145.00,3.20,3.18,3.22,3.01,3.13,3.17,3.22,633.00,633.00,678.00,713.00,765.00,3.83
220.89,1343.00,1249.00,1270.00,1191.00,1224.00,1137.00,1136.00,1145.00,3.20,3.19,3.23,3.01,3.13,3.23,3.28,636.00,636.00,680.00,716.00,767.00,3.45
